review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Excellent service from [REDACTED] and their network of fitters.I ordered a tyre online and it was delivered to Reliance Auto Test in Bicester, who gave me a fitting appointment time.Turned up on time, sat in reception for 10 minutes whilst the tyre was changed and drove away !! Brilliant service !!",length of fitting positive,ease of booking positive,"['Excellent', 'service', '[', 'REDACTED', ']', 'network', 'fitters.I', 'ordered', 'tyre', 'online', 'delivered', 'Reliance', 'Auto', 'Test', 'Bicester', ',', 'gave', 'fitting', 'appointment', 'time.Turned', 'time', ',', 'sat', 'reception', '10', 'minutes', 'whilst', 'tyre', 'changed', 'drove', 'away', '!', '!', 'Brilliant', 'service', '!', '!']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Very good overall experience, polite and helpful staff.Arrived promptly around 9:10am and did choose to sit and wait in the waiting area. Complimentary drinks hot and cold were available. After waiting an hour I thought it must be nearly done as it was only one tyre being replaced, 10:30 my car was finished.When I went out they had cleaned the outside and hoovered the carpets inside as well. This I wasn’t expecting so couldn’t fault the extra work they put in.",garage service positive,wait time positive,"['good', 'overall', 'experience', ',', 'polite', 'helpful', 'staff.Arrived', 'promptly', 'around', '9:10am', 'choose', 'sit', 'wait', 'waiting', 'area', '.', 'Complimentary', 'drinks', 'hot', 'cold', 'available', '.', 'waiting', 'hour', 'thought', 'must', 'nearly', 'done', 'one', 'tyre', 'replaced', ',', '10:30', 'car', 'finished.When', 'went', 'cleaned', 'outside', 'hoovered', 'carpets', 'inside', 'well', '.', '’', 'expecting', '’', 'fault', 'extra', 'work', 'put', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
[REDACTED] service is great. No issues with their service the number of times I have used them.Tyres always been delivered on time and fitting center already ready.I have just had an issue with the last pair of tyres fitted.Tyres fitter has damaged my show wheels and left a gouge in the face of them.,damage negative,delivery punctuality positive,"['[', 'REDACTED', ']', 'service', 'great', '.', 'issues', 'service', 'number', 'times', 'used', 'them.Tyres', 'always', 'delivered', 'time', 'fitting', 'center', 'already', 'ready.I', 'issue', 'last', 'pair', 'tyres', 'fitted.Tyres', 'fitter', 'damaged', 'show', 'wheels', 'left', 'gouge', 'face', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
[REDACTED] was so easy and the garage that fitted the tyres were really efficient,garage service positive,length of fitting positive,"['[', 'REDACTED', ']', 'easy', 'garage', 'fitted', 'tyres', 'really', 'efficient']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent, user friendly website, providing key info at a glance",,,"['Excellent', ',', 'user', 'friendly', 'website', ',', 'providing', 'key', 'info', 'glance']",positive,{}
Fast service order placed Monday arrived Wed as I live on the West coast of Scotland happily surprised,delivery punctuality positive,,"['Fast', 'service', 'order', 'placed', 'Monday', 'arrived', 'Wed', 'live', 'West', 'coast', 'Scotland', 'happily', 'surprised']",positive,{'garage service': 'positive'}
Quick and easy. Highly recommended.,,,"['Quick', 'easy', '.', 'Highly', 'recommended', '.']",positive,{}
Competitively priced,value for money positive,,"['Competitively', 'priced']",neutral,{}
"[REDACTED] have continued to impress me, this time seemed to be even easier! The tyre choices were comprehensive and competitive while the chosen installer could not be more helpful.I will us them again for sure.",value for money positive,garage service positive,"['[', 'REDACTED', ']', 'continued', 'impress', ',', 'time', 'seemed', 'even', 'easier', '!', 'tyre', 'choices', 'comprehensive', 'competitive', 'chosen', 'installer', 'could', 'helpful.I', 'us', 'sure', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Very easy to book and reasonably priced.,ease of booking positive,value for money positive,"['easy', 'book', 'reasonably', 'priced', '.']",positive,{}
Excellent - such a great service,,,"['Excellent', '-', 'great', 'service']",positive,{'garage service': 'positive'}
Always great service and best prices,value for money positive,,"['Always', 'great', 'service', 'best', 'prices']",positive,{'garage service': 'positive'}
"Easy to use site, easy to find a suitable product at a competitive price and a speedy delivery.",value for money positive,delivery punctuality positive,"['Easy', 'use', 'site', ',', 'easy', 'find', 'suitable', 'product', 'competitive', 'price', 'speedy', 'delivery', '.']",positive,{}
"Very easy to use ,stick reg in ,buy select tyres selection fitting station, pick time to suit your needs, done brilliant",value for money positive,ease of booking positive,"['easy', 'use', ',', 'stick', 'reg', ',', 'buy', 'select', 'tyres', 'selection', 'fitting', 'station', ',', 'pick', 'time', 'suit', 'needs', ',', 'done', 'brilliant']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Quick and done properly,length of fitting positive,,"['Quick', 'done', 'properly']",positive,{}
"good price arrived at fitting garage promptly but unfortunately the garage concerned over inflated the tyres by 15psi and did not apologise when I picked it up via tyre pressure monitor on car also they broke tabs on gear stick gear insert ,possibly by hitting it in temper but did not mention it to them as I didn’t find it till I drove down the road and couldn’t prove they did it anyway I have only praise for [REDACTED] but when I next need tyres I will still buy off them but pick another garage to fit ,fortunately there are other garages locally",value for money positive,garage service negative,"['good', 'price', 'arrived', 'fitting', 'garage', 'promptly', 'unfortunately', 'garage', 'concerned', 'inflated', 'tyres', '15psi', 'apologise', 'picked', 'via', 'tyre', 'pressure', 'monitor', 'car', 'also', 'broke', 'tabs', 'gear', 'stick', 'gear', 'insert', ',', 'possibly', 'hitting', 'temper', 'mention', '’', 'find', 'till', 'drove', 'road', '’', 'prove', 'anyway', 'praise', '[', 'REDACTED', ']', 'next', 'need', 'tyres', 'still', 'buy', 'pick', 'another', 'garage', 'fit', ',', 'fortunately', 'garages', 'locally']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Tyres at a good price would gladly do business with again,value for money positive,,"['Tyres', 'good', 'price', 'would', 'gladly', 'business']",positive,{'incorrect tyres': 'positive'}
Great value for money great people to do business with,value for money positive,,"['Great', 'value', 'money', 'great', 'people', 'business']",positive,{}
Excellent. Tyres ordered an fitted to suit me at my local tyre outlet .quick service from them. Just made this a dream to use.I did think i was gonna have issues but 5* service. Couldn't ask for anythin better.And they worked out cheaper than buying from any other tyre outlets i could find.,location positive,value for money positive,"['Excellent', '.', 'Tyres', 'ordered', 'fitted', 'suit', 'local', 'tyre', 'outlet', '.quick', 'service', '.', 'made', 'dream', 'use.I', 'think', 'gon', 'na', 'issues', '5', '*', 'service', '.', 'Could', ""n't"", 'ask', 'anythin', 'better.And', 'worked', 'cheaper', 'buying', 'tyre', 'outlets', 'could', 'find', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Have used [REDACTED] many times and been very happy with them until this time, ordered 4 tyres but when went to have fitted they had sent only 3 tyres and not told me, so consequently had to make a return journey to garage when the fourth tyre was sent three days later. So on thisoccasion very poor service by [REDACTED].",incorrect tyres sent negative,,"['used', '[', 'REDACTED', ']', 'many', 'times', 'happy', 'time', ',', 'ordered', '4', 'tyres', 'went', 'fitted', 'sent', '3', 'tyres', 'told', ',', 'consequently', 'make', 'return', 'journey', 'garage', 'fourth', 'tyre', 'sent', 'three', 'days', 'later', '.', 'thisoccasion', 'poor', 'service', '[', 'REDACTED', ']', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
easy to use,,,"['easy', 'use']",positive,{}
"Good value & easy to arrange, second time I’ve used [REDACTED] and will not be the last.",value for money positive,ease of booking positive,"['Good', 'value', '&', 'easy', 'arrange', ',', 'second', 'time', '’', 'used', '[', 'REDACTED', ']', 'last', '.']",positive,{'wait time': 'positive'}
Easy to choose and simple to buy. That’s it!,,,"['Easy', 'choose', 'simple', 'buy', '.', '’', '!']",positive,{}
Excellent price and excellent service.,value for money positive,,"['Excellent', 'price', 'excellent', 'service', '.']",positive,{'garage service': 'positive'}
"Great service, from the website to the fitting! If you want quality tyres at a good price, use this company!",value for money positive,,"['Great', 'service', ',', 'website', 'fitting', '!', 'want', 'quality', 'tyres', 'good', 'price', ',', 'use', 'company', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Straightforward, cost-effective and the mechanic at Glasgow Silverburn was excellent. Unlike many national chains, you are not conned out of extra work, you simply have the tyres you pre-selected fitted to your car within 30mins.",value for money positive,length of fitting positive,"['Straightforward', ',', 'cost-effective', 'mechanic', 'Glasgow', 'Silverburn', 'excellent', '.', 'Unlike', 'many', 'national', 'chains', ',', 'conned', 'extra', 'work', ',', 'simply', 'tyres', 'pre-selected', 'fitted', 'car', 'within', '30mins', '.']",positive,{'incorrect tyres': 'positive'}
"Excellent. Pick your car-car tyres-select garage-book time-pay-turn up-done. No extras, all in. great price.",extra charges positive,value for money positive,"['Excellent', '.', 'Pick', 'car-car', 'tyres-select', 'garage-book', 'time-pay-turn', 'up-done', '.', 'extras', ',', '.', 'great', 'price', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Quick and easy instructions to follow will use them again,,,"['Quick', 'easy', 'instructions', 'follow', 'use']",positive,{}
Very impressed Came on time and fitted the 2 tyres quickly,length of fitting positive,,"['impressed', 'Came', 'time', 'fitted', '2', 'tyres', 'quickly']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Best priced and fitted local. Just the job,value for money positive,,"['Best', 'priced', 'fitted', 'local', '.', 'job']",positive,{}
"Great price for tyres, well organised and efficient fitting - definitely will use again.",length of fitting positive,value for money positive,"['Great', 'price', 'tyres', ',', 'well', 'organised', 'efficient', 'fitting', '-', 'definitely', 'use', '.']",positive,{'incorrect tyres': 'positive'}
"[REDACTED] customer services are very unhelpful, very un knowledgable and when asking questions which are not displayed on the webpage staff are not trained sufficiently enough to answer a customers query. However the garage which I had my tyres changed at were absolutely excellent.",advisor/agent service negative,garage service positive,"['[', 'REDACTED', ']', 'customer', 'services', 'unhelpful', ',', 'un', 'knowledgable', 'asking', 'questions', 'displayed', 'webpage', 'staff', 'trained', 'sufficiently', 'enough', 'answer', 'customers', 'query', '.', 'However', 'garage', 'tyres', 'changed', 'absolutely', 'excellent', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Always a pleasure,,,"['Always', 'pleasure']",neutral,{}
"First time using online tyre company and couldn't have been better. Easy to navigate, plenty of choice and information on the tyres and the fitting centre (AMS Moulton Park, Northampton) were also a pleasure to deal with.",garage service positive,,"['First', 'time', 'using', 'online', 'tyre', 'company', 'could', ""n't"", 'better', '.', 'Easy', 'navigate', ',', 'plenty', 'choice', 'information', 'tyres', 'fitting', 'centre', '(', 'AMS', 'Moulton', 'Park', ',', 'Northampton', ')', 'also', 'pleasure', 'deal', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
